,country,Total Population,Available Manpower,Fit-for-Service,Reaching Mil Age Annually,Tot Military Personnel (est.),Active Personnel,Reserve Personnel,Paramilitary,Manpower Composition,Total Aircraft Strength,Fighters/Interceptors,Dedicated Attack,Transports,Trainers,Special-Mission,Tanker Fleet,Helicopters,Attack Helicopters,Tanks,Armored Vehicles,Self-Propelled Artillery,Towed Artillery,Rocket Projectors,Aircraft Carriers,Helicopter Carriers,Destroyers,Frigates,Corvettes,Submarines,Patrol Vessels,Mine Warfare,Oil Production,Oil Consumption,Oil Proven Reserves,Labor Force,Merchant Marine Fleet,Ports / Trade Terminals,Roadway Coverage,Railway Coverage,Airports,Defense Budget,External Debt,Foreign Exchange/Gold,Purchasing Power Parity,Square Land Area,Coastline Coverage,Shared Borders,Waterways (usable)
10,Austria,8884864,3998189,3598370,97734,183000,23000,160000,0,65,102,15,0,11,13,0,0,63,0,56,542,62,0,0,,,,,,,,,13000 bbl,268000 bbl,41200000 bbl,3739000,0,4,137039,5800,50,$3432000000,$688434000000,$22000000000,$465100000000,83871,LANDLOCKED,2524,0
11,Finland,5587442,2290851,1899730,55874,937000,23000,900000,14000,46,192,55,0,11,105,1,0,20,0,200,2090,115,662,63,0,0,0,0,0,0,8,18,310500 bbl,217100 bbl,0 bbl,2520000,272,6,454000,5926,148,$6308370000,$631549000000,$10510000000,$260000000000,338145,1250,2563,7842
12,Germany,79903481,36755601,29404481,799035,199000,184000,15000,0,18,617,134,75,43,37,41,0,287,55,266,9217,121,0,38,0,0,0,12,5,6,0,12,40000 bbl,2460000 bbl,129600000 bbl,44585000,599,13,625000,33590,539,$50300000000,$5671463000000,$200100000000,$4238800000000,357022,2389,3694,7467
13,Belgium,11778842,4829325,3816345,117788,33000,26000,7000,0,62,115,44,0,8,43,0,0,20,0,0,854,0,0,0,0,0,0,2,0,0,2,5,0 bbl,648600 bbl,0 bbl,4122000,201,8,118414,3592,41,$5513710000,$1317513000000,$26160000000,$560000000000,30528,67,1297,2043
14,Canada,37943231,16315589,13204244,417376,94500,70000,19000,5500,29,380,63,0,36,133,24,6,118,0,82,1534,0,163,0,0,0,0,12,0,4,12,0,4265000 bbl,2445000 bbl,170500000000 bbl,18136000,679,13,1042300,77932,1467,$23550574382,$2124887000000,$86680000000,$1742790000000,9984670,202080,8893,636
15,United Arab Emirates,9856612,5716835,4859310,78853,77000,65000,0,12000,20,554,100,20,39,146,23,3,223,30,354,9255,183,76,149,0,0,0,0,9,0,38,2,3215000 bbl,896000 bbl,97800000000 bbl,5344000,623,8,4080,0,43,$25266000000,$237600000000,$95370000000,$660000000000,83600,1318,1066,0
16,United Kingdom,67081000,30857260,24685808,737891,231000,194000,37000,0,15,693,119,23,40,247,20,9,235,24,227,5015,89,126,44,2,0,6,12,0,10,26,11,1000000 bbl,1584000 bbl,2069000000 bbl,35412000,1249,16,394428,16837,460,$68000000000,$8721590000000,$150800000000,$2797980000000,243610,12429,443,3200
17,New Zealand,4991442,2146320,1717056,59897,12100,9600,2500,0,83,47,0,0,7,13,5,0,22,0,0,500,0,24,0,0,0,0,2,0,0,4,0,25000 bbl,169100 bbl,51800000 bbl,2709000,115,6,94000,4128,123,$3700000000,$190621000000,$20680000000,$215600000000,267710,15134,NONE - ISLAND,0
18,Israel,8787045,3690559,3066679,123019,646000,173000,465000,8000,19,597,241,27,15,153,23,11,127,48,1900,8044,650,300,48,0,0,0,0,7,5,45,0,400 bbl,242200 bbl,12730000 bbl,3893000,41,5,19555,1384,42,$17800000000,$132500000000,$113000000000,$355000000000,20770,273,1068,0
19,France,68084217,29957055,23693308,748926,415000,205000,35000,175000,10,1055,266,0,125,165,46,18,435,69,406,6558,109,105,13,1,3,10,11,0,10,15,17,16000 bbl,1705000 bbl,65970000 bbl,27742000,548,17,1053215,29640,464,$40900000000,$6356459000000,$156400000000,$2832170000000,643801,4853,4072,8501
20,Japan,124687293,53615536,43391178,1122186,309000,240000,55000,14000,6,1449,217,23,59,425,164,7,554,119,1004,5500,214,480,99,0,4,36,4,6,21,6,22,3200 bbl,3894000 bbl,44120000 bbl,66540000,5201,44,1218772,27311,175,$47482740000,$4254271000000,$1264000000000,$5225850000000,377915,29751,NONE - ISLAND,1770
21,Italy,62390364,28075664,22710092,561513,297000,170000,20000,107000,13,862,92,95,39,188,27,10,396,59,200,6908,54,108,21,2,0,4,13,0,8,21,10,90000 bbl,1236000 bbl,487800000 bbl,22920000,1296,14,487700,20182,129,$29198401050,$2463208000000,$151200000000,$2322140000000,301340,7600,1836,2400
22,Kuwait,3032065,1667636,1400814,36385,48000,17000,24000,7000,66,99,27,0,2,13,0,3,54,16,367,909,74,0,27,0,0,0,0,0,0,106,0,2805000 bbl,446000 bbl,101500000000 bbl,2695000,165,5,5749,0,7,$8172000000,$47240000000,$33700000000,$210000000000,17818,499,475,0
23,Spain,47260584,21739869,17628198,330824,215000,120000,15000,80000,23,503,140,12,49,168,15,0,119,23,327,5033,96,140,0,1,0,0,11,0,2,22,6,1700 bbl,1296000 bbl,150000000 bbl,19057000,478,12,683175,15333,135,$11750000000,$2338853000000,$69410000000,$1714860000000,505370,4964,1953,1000
24,Slovenia,2102106,1009011,828230,22913,14000,7000,2000,5000,88,37,0,0,3,22,0,0,12,0,44,380,8,18,0,0,0,0,0,0,0,2,0,5 bbl,52140 bbl,0 bbl,885000,9,1,38985,1229,16,$581680000,$48656000000,$889900000,$76750000000,20273,47,1211,0
25,Bahrain,1526929,824542,702387,16796,13000,10000,0,3000,64,110,17,0,3,37,0,0,51,22,180,833,38,26,17,0,0,0,1,2,0,44,0,40000 bbl,61000 bbl,124600000 bbl,831600,205,2,4122,0,4,$1538800000,$52150000000,$2349000000,$70000000000,760,161,NONE - ISLAND,0
26,Portugal,10344802,5172401,3982749,124138,155500,30500,100000,25000,97,97,24,0,15,26,10,0,22,0,37,725,24,45,0,0,0,0,5,2,2,20,0,12932 bbl,236000 bbl,0 bbl,4828100,726,7,82900,3075,68,$3360000000,$441485000000,$29050000000,$331640000000,92090,1793,1224,210
27,Saudi Arabia,34783757,18087554,16626636,591324,350000,225000,0,125000,12,897,283,81,49,190,14,22,258,34,1062,6202,705,1818,275,0,0,0,7,4,0,39,3,10425000 bbl,3287000 bbl,266200000000 bbl,13800000,392,5,221372,5410,214,$46000000000,$205100000000,$496400000000,$1543240000000,2149690,2640,4272,0
28,Estonia,1220042,597821,466056,13420,34500,6500,12000,16000,107,6,0,0,2,4,0,0,0,0,0,180,18,66,0,0,0,0,0,0,0,2,4,0 bbl,28300 bbl,0 bbl,648000,68,6,58412,2146,18,$713690000,$23944000000,$345000000,$45000000000,45228,3794,657,335
29,Czech Republic,10702596,5030220,4077689,96323,26000,26000,0,0,68,92,12,16,10,10,0,0,44,15,116,692,86,0,0,,,,,,,,,2000 bbl,213700 bbl,15000000 bbl,5222000,0,3,55744,9408,128,$3262900000,$191871000000,$148000000000,$410000000000,78867,LANDLOCKED,2046,664
30,Greece,10569703,4967760,4027057,105697,385500,130000,220500,35000,17,633,188,0,17,144,14,0,270,29,1243,6134,590,669,147,0,0,0,13,0,11,35,8,4100 bbl,304100 bbl,10000000 bbl,4000000,1236,7,117000,2548,77,$6600000000,$484888000000,$7807000000,$295000000000,131957,13676,1110,6
31,Curaçao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Slovakia,5436066,2772394,2299456,59797,13000,13000,0,0,81,50,10,0,7,8,1,0,24,0,20,454,16,9,25,,,,,,,,,200 bbl,85880 bbl,9000000 bbl,2511000,0,2,56926,3580,35,$2092000000,$115853000000,$3622000000,$165570000000,49035,LANDLOCKED,1587,172
33,Lithuania,2711566,1762518,1374764,37962,42000,16000,15000,11000,106,10,0,0,5,0,0,0,5,0,0,572,21,54,0,0,0,0,0,0,0,4,4,2000 bbl,58000 bbl,12000000 bbl,1333000,64,3,84166,1768,61,$1145745000,$37859000000,$4450000000,$100000000000,65300,90,1545,441
34,Latvia,1862687,838209,670567,16764,29700,6500,15000,8200,109,4,0,0,0,0,0,0,4,0,0,297,63,0,0,0,0,0,0,0,0,11,6,0 bbl,44600 bbl,0 bbl,885000,70,2,70244,1860,42,$853758013,$40164000000,$4614000000,$55755000000,64589,498,1370,300
35,Uruguay,3398239,1563190,1311720,54372,23500,22000,0,1500,81,50,0,7,8,17,5,0,11,0,79,474,6,64,0,0,0,0,1,0,0,3,2,0 bbl,53000 bbl,0 bbl,1748000,61,1,77732,1673,133,$1072600000,$43705000000,$15960000000,$75060000000,176215,660,1591,1600
36,Oman,3694755,1404007,1222964,48032,46000,40000,0,6000,59,128,29,10,9,45,4,0,31,0,117,932,0,183,12,0,0,0,0,5,0,12,0,980000 bbl,188000 bbl,5373000000 bbl,2255000,57,5,60230,0,132,$8396300000,$46270000000,$16090000000,$135000000000,309500,2092,1561,0
37,Hungary,9728337,4572318,3745410,116740,55000,23000,20000,12000,80,55,12,0,2,8,0,0,33,8,176,510,0,12,0,,,,,,,,,16000 bbl,167700 bbl,24000000 bbl,4414000,1,5,203601,8049,41,$3263999300,$123256000000,$28000000000,$300320000000,103000,LANDLOCKED,2106,1622
38,Venezuela,29069153,14534577,11918353,581383,1767500,137500,30000,1600000,35,256,44,0,50,80,3,1,78,10,300,2534,60,104,54,0,0,0,2,0,2,31,0,1500000 bbl,659000 bbl,302300000000 bbl,14210000,281,5,96189,447,444,$1929600000,$100300000000,$9661000000,$265000000000,912050,2800,5267,7100
39,Chile,18307925,8787804,7378094,292927,170000,80000,40000,50000,33,290,45,0,31,113,17,6,78,0,270,1063,48,164,30,0,0,0,8,0,4,97,0,3000 bbl,354500 bbl,150000000 bbl,7249000,231,11,77801,7282,481,$5058000000,$193298000000,$38980000000,$445880000000,756102,6435,7801,12290
40,Panama,3928646,1767891,1060734,47144,27000,0,0,27000,87,39,0,0,12,4,1,0,22,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0 bbl,146000 bbl,0 bbl,1633000,7980,3,11978,77,117,$741160000,$101393000000,$2703000000,$109000000000,75420,2490,687,800
41,Poland,38185913,18711097,15350737,458231,152500,120000,0,32500,26,452,91,0,49,96,9,0,207,30,863,4786,609,0,197,0,0,0,2,2,1,3,21,21000 bbl,649600 bbl,126000000 bbl,9561000,143,4,420000,19231,126,$14500000000,$351770000000,$113300000000,$1200000000000,312685,440,2845,3997
42,Croatia,4208973,2062397,1586783,54171,37000,15000,20000,2000,73,78,12,0,0,26,0,0,40,0,72,650,24,231,105,0,0,0,0,0,0,15,1,14000 bbl,73000 bbl,71000000 bbl,1656000,354,6,26958,2722,69,$2100000000,$48100000000,$18820000000,$105000000000,56594,5835,2237,785
