FIELD_ID,FLD_NAME,FLD_NAME2,REG_CODE,REG_NAME,WB_REGION,COUNTRY,CountrynameWEO,weo_code,ISO,STATE,LAT_DD,LON_DD,ON_OFF_LOC,year,FIELD_TYPE,SIZE_CLASS,SIZE_CLASS_CODE,EUR_MMBOE,oil_price,gas_price,firstdiscoyear,disco_cumu,disco_count,EUR_cumu,NPV_USD_n,defl_uscpi,NPV_USD_r,gdp_curr,gdp_const,NPV_GDP_n,NPV_GDP_r,DISCO_SOURCE1,DISCO_SOURCE2,DISCO_SOURCE3,DISCO_SOURCE4
1031,Pobeda,,D,EASTERN EUROPE AND FORMER USSR,ECA,Russia,Russia,922,RUS,,75,74,Offshore,2014,Oil,Giant,1,4000,96.235,1.225798458333337,1893,158,158,468776.22,73356.063,1.0213425,71823.172,2059984.1583846,1690779.64744491,3.5610013,4.247932,https://www.offshore-mag.com/articles/2014/12/russia-confirms-kara-sea-pobeda-discovery.html,,,
1032,Edge Prospect,FAN-1,F,AFRICA,SSA,Senegal,Senegal,722,SEN,,13.5,-17.5,Offshore,2014,Oil,Giant,1,838,96.235,1.225798458333337,2014,1,4,838,23491.766,1.0213425,23000.869,19770.8402859946,18957.3800718825,118.82027,121.32937,https://www.offshore-technology.com/news/newscairn-energy-and-partners-discover-oil-at-fan-1-exploration-well-offshore-senegal-4397777/,https://www.offshore-mag.com/articles/2018/03/far-updates-resources-at-secondary-offshore-senegal-discovery.html,,
1033,SNE,SNE-1,F,AFRICA,SSA,Senegal,Senegal,722,SEN,,13.5,-17.5,Offshore,2014,Oil,Giant,1,563,96.235,1.225798458333337,2014,2,4,1401,17534.459,1.0213425,17168.049,19770.8402859946,18957.3800718825,88.688484,90.561295,http://www.conocophillips.com/news-media/story/conocophillips-announces-second-oil-discovery-offshore-senegal/,https://www.offshore-technology.com/projects/sne-deepwater-oil-field/,,
1034,Teranga 1,,F,AFRICA,SSA,Senegal,Senegal,722,SEN,,15.5,-18,Offshore,2016,Gas,Supergiant,2,5000,42.81194444444444,.599729358406775,2014,3,4,6401,536.97925,1.0315046,520.57861,19027.3928758489,21446.1786239282,2.8221378,2.4273725,http://investors.kosmosenergy.com/news-releases/news-release-details/kosmos-energy-announces-significant-gas-discovery-offshore-0,https://www.ecofinagency.com/exploration/1005-34330-kosmos-discovers-gas-at-the-teranga-1-well-offshore-senegal,,
1035,Yakaar-1,,F,AFRICA,SSA,Senegal,Senegal,722,SEN,,15.5,-18,Offshore,2017,Gas,Giant,1,3000,52.805,.7375153891672981,2014,4,4,9401,456.54755,1.0479046,435.67664,21081.6698700624,22965.1947902114,2.1656139,1.8971171,http://investors.kosmosenergy.com/news-releases/news-release-details/kosmos-energy-announces-major-gas-discovery-offshore-senegal,https://www.ft.com/content/091c4a94-33e4-11e7-99bd-13beb0903fa3,https://www.spe.org/en/briefs/regional/?vol=69&issue=7,
1036,LeClerc,#1 STO1 LeClerc,B,CENTRAL AND SOUTH AMERICA,LAC,Trinidad and Tobago,Trinidad and Tobago,369,TTO,,10.5,-59.5,Offshore,2016,Oil,Supergiant,2,5000,42.81194444444444,.599729358406775,1913,5,5,7100,38332.5,1.0315046,37161.734,21746.3913330334,21510.4298538871,176.27063,172.76147,https://www.epmag.com/international-highlights-1364616,https://www.ogj.com/exploration-development/article/17249530/bhp-finds-gas-but-no-oil-in-leclerc-well-offshore-trinidad-and-tobago,,
1037,Tanzania LNG (Block 4),Tanzania LNG (Block 4),F,AFRICA,SSA,Tanzania,Tanzania,738,TZA,,-8.300000190734863,40.40000152587891,Offshore,2010,Gas,Giant,1,700,79.04077178471722,1.077184070436508,2010,1,9,700,230.38623,.94427747,243.98149,32014.2498414151,32014.2498414151,.7196365,.76210278,https://www.offshore-mag.com/drilling-completion/article/16772698/deepwater-tanzanian-wells-prove-further-gas,https://www.2b1stconsulting.com/total-signed-farm-in-agreement-with-petronas-in-mozambique/,,
1038,Tanzania LNG (Block 1),Tanzania LNG (Block 1),F,AFRICA,SSA,Tanzania,Tanzania,738,TZA,,-10,40.70000076293945,Offshore,2011,Gas,Giant,1,1000,104.0093975255258,1.23365417703824,2010,2,9,1700,342.83475,.96323586,355.91983,34657.1394954031,34470.4328505958,.98921824,1.0325366,https://www.geoexpro.com/articles/2012/10/new-offshore-licensing-round-for-tanzania,,,
1039,Zafarani,,F,AFRICA,SSA,Tanzania,Tanzania,738,TZA,,-9.5,40.70000076293945,Offshore,2012,Gas,Giant,1,1000,105.0096288848768,1.209156874999998,2010,3,9,2700,336.02692,.98390281,341.52451,39650.5302143287,36021.6552616077,.84747142,.94810885,http://abarrelfull.wikidot.com/zafarani-gas-field,https://www.tanzaniainvest.com/gas,,
1040,Tanzania LNG (Block 2),Tanzania LNG (Block 2),F,AFRICA,SSA,Tanzania,Tanzania,738,TZA,,-9,40.40000152587891,Offshore,2012,Gas,Giant,1,600,105.0096288848768,1.209156874999998,2010,4,9,3300,230.88504,.98390281,234.66245,39650.5302143287,36021.6552616077,.58230001,.65144825,https://www.offshoreenergytoday.com/statoil-exxonmobil-make-large-gas-discovery-offshore-tanzania/,https://www.eia.gov/beta/international/analysis_includes/special_topics/East_Africa/eeae.pdf,,
