Country|Region|Lat|Lon|Type|Status|Amount
Canada|Dawn Lake|48.294444|-72.959444|Unconformity-Proterozoic|Dormant|2,500-5,000
Canada|Denison|45.743889|-72.102222|Quartz-pebble|Closed|> 100,000
Canada|Double S|45.250556|-61.446667|Intrusive|Exploration|5,000-10,000
Canada|Eagle Point|68.650833|-78.898056|Unconformity-Proterozoic|Operating|25,000-50,000
Canada|Fond du Lac|59.334167|-107.181944|Unconformity-Proterozoic|Dormant|< 500
Canada|Gaertner|46.526944|-77.449722|Unconformity-Proterozoic|Depleted|25,000-50,000
Canada|Gear|46.3675|-73.688056|Volcanic|Dormant|< 500
Canada|Gunnar|47.380556|-84.065556|Vein|Depleted|10,000-25,000
Canada|Hab|59.616667|-108.434167|Vein|Depleted|500-1,000
Canada|Haynes|49.015|-119.455|Sandstone-Basal Channel|Dormant|500-1,000
Canada|Horseshoe|44.486667|-79.713889|Unconformity-Proterozoic|Exploration|5,000-10,000
Canada|Hydraulic Lake|49.760556|-119.186111|Sandstone-Basal Channel|Dormant|1,000-2,500
Canada|Jacques Lake|47.713056|-72.574444|Volcanic|Exploration|5,000-10,000
Canada|Kitts|45.286944|-77.757222|Volcanic|Dormant|1,000-2,500
Canada|L|51.6|-55.531111|Unconformity-Proterozoic|Dormant|1,000-2,500
Canada|Lac Cinquante|48.973889|-71.805|Vein|Exploration|2,500-5,000
Canada|Lac Gayot|46.906111|-73.669167|Other|Exploration|25,000-50,000
Canada|LaRocque Lake|63.05|-107.7175|Unconformity-Proterozoic|Dormant|1,000-2,500
Canada|Lorado|59.500278|-108.668056|Vein|Dormant|500-1,000
Canada|Madawaska|45.403333|-76.388333|Intrusive|Closed|2,500-5,000
Canada|Matoush|52.421389|-70.926389|Other|Development|5,000-10,000
Canada|Maurice Bay|47.420278|-61.790278|Unconformity-Proterozoic|Dormant|500-1,000
Canada|Maybelle River|57.916944|-109.918333|Unconformity-Proterozoic|Exploration|UNKNOWN
Canada|McArthur River|57.833333|-104.600833|Unconformity-Proterozoic|Operating|> 100,000
Canada|Michelin|46.830833|-73.450833|Volcanic|Exploration|25,000-50,000
Canada|Midwest|42.041111|-83.149444|Unconformity-Proterozoic|Dormant|10,000-25,000
Canada|Millennium|49.891667|-97.141944|Unconformity-Proterozoic|Exploration|10,000-25,000
Canada|Milliken|43.825|-79.298611|Quartz-pebble|Dormant|5,000-10,000
Canada|Mont Laurier|46.55|-75.499167|Intrusive|Exploration|< 500
Canada|Mountain Lake|51.083333|-105.233889|Sandstone-Tabular|Dormant|2,500-5,000
Canada|Nash|47.748889|-74.436944|Volcanic|Exploration|500-1,000
Canada|Nordic|46.362222|-82.602222|Quartz-pebble|Dormant|10,000-25,000
Canada|P Patch|46.526667|-84.301944|Unconformity-Proterozoic|Exploration|5,000-10,000
Canada|Panel|49.483889|-69.508056|Quartz-pebble|Unknown|10,000-25,000
Canada|Paul Bay|47.440833|-70.498333|Unconformity-Proterozoic|Dormant|5,000-10,000
Canada|Pronto|46.194444|-82.725833|Quartz-pebble|Depleted|1,000-2,500
Canada|Quirke|46.534167|-82.604167|Quartz-pebble|Closed|25,000-50,000
Canada|Rabbit Lake|49.266667|-57.548333|Unconformity-Proterozoic|Depleted|10,000-25,000
Canada|Rainbow|58.491389|-119.407778|Volcanic|Exploration|1,000-2,500
Canada|Raven|48.051944|-79.55|Unconformity-Proterozoic|Exploration|2,500-5,000
Canada|Spanish American|46.715833|-81.690556|Quartz-pebble|Closed|2,500-5,000
Canada|Sue A|53.379167|-132.193333|Unconformity-Proterozoic|Dormant|500-1,000
Canada|Sue E|48.665278|-91.786667|Unconformity-Proterozoic|Dormant|2,500-5,000
Canada|Tamarack|53.464167|-113.362222|Unconformity-Proterozoic|Dormant|5,000-10,000
Canada|Thorburn Lake|48.266389|-54.148056|Unconformity-Proterozoic|Dormant|500-1,000
Canada|Tyee|49.982778|-125.902778|Sandstone-Basal Channel|Dormant|500-1,000
Canada|West Bear|43.477222|-65.645556|Unconformity-Proterozoic|Dormant|500-1,000
China|Chengzishan,|41.751944|119.758889|Sandstone-Basal Channel|Dormant|5,000-10,000
China|Guyuan, Yinshan-|36.001944|105.535|Volcanic|Exploration|2,500-5,000
China|Jinyinzhai|25.947778|109.99|Vein|Depleted|5,000-10,000
China|Xiangcao|25.185556|111.898056|Sandstone-Roll Front|Exploration|1,000-2,500
China|Xiangshan|22.523056|113.378889|Volcanic|Operating|10,000-25,000
Colombia|Berlin|5.904722|-73.943333|Black Shales|Exploration|2,500-5,000
Czech Republic|Brevniste|50.711111|14.869167|Sandstone-Tabular|Depleted|10,000-25,000
Czech Republic|Dylen|49.9675|12.503333|Vein|Depleted|2,500-5,000
Czech Republic|Hamr|50.699444|14.845556|Sandstone-Tabular|Dormant|25,000-50,000
Czech Republic|Horni Slavkov|50.138611|12.8075|Vein|Depleted|2,500-5,000
Czech Republic|Hvezdov|50.636944|14.793056|Sandstone-Tabular|Dormant|10,000-25,000
Czech Republic|Jachymov|50.358333|12.934444|Vein|Depleted|10,000-25,000
Czech Republic|Javornik-Zalesi|50.359722|16.933056|Vein|Depleted|2,500-5,000
Czech Republic|Mimon|50.658611|14.724722|Sandstone-Tabular|Depleted|10,000-25,000
Czech Republic|Okrouhla Radoun|49.239722|15.016944|Vein|nan|2,500-5,000Depleted
Czech Republic|Olsi|49.155278|15.373056|Vein|nan|2,500-5,000Depleted
Czech Republic|Osecna-Kotel|50.685|14.946389|Sandstone-Tabular|Dormant|25,000-50,000
Czech Republic|Polna|49.486944|15.718611|Vein|Dormant|1,000-2,500
Czech Republic|Predborice|49.855556|15.219444|Vein|Depleted|< 500
Czech Republic|Pribram|49.689722|14.010278|Vein|Depleted|25,000-50,000
Czech Republic|Rozna|49.477222|16.238333|Vein|Operating|10,000-25,000
Czech Republic|Straz|50.702778|14.800833|Sandstone-Tabular|Operating|25,000-50,000
Czech Republic|Zadni Chodov|49.890278|12.654444|Vein|Depleted|10,000-25,000
Finland|Kesankitunturi|67.616667|24.266667|Sandstone-Tabular|Dormant|500-1,000
Finland|Nuottijarvi|67.763889|24.750833|Phosphorite|Dormant|1,000-2,500
Finland|Talvivaara|63.95|28.183333|Black Shales|Development|2,500-5,000
France|Bertholene|44.394167|2.778333|Unconformity-Proterozoic|Depleted|500-1,000
France|Bois Noirs (Les)|45.929444|3.711667|Vein|Depleted|5,000-10,000
France|Bondons (Les)|44.386111|3.618611|Vein|Depleted|< 500
France|Brugeaud (Le)|46.116667|1.366667|Vein|Depleted|1,000-2,500
