 |Mine Name|Mine Name AKAs|Mine Name (Non-ENG)|GEM Wiki Page (ENG)|GEM Wiki Page (Non-ENG)|Status|Status Detail|Project Type|Project Phase|Operators|Owners|Parent Company|Company HQs|Production or Capacity Data (Mtpa)|Coal Output (Annual, Mt)|Coal Output (Annual, Mst)|Mine Type|Mining Method|Mine Size (Km2)|Mine Depth (m)|Depth Accuracy|Workforce Size|Coal Type|Coal Grade|Reserves Total (Proven & Probable)|Proven Reserve|Probable Reserve|Resource (Measured)|Resource (Indicated)|Resource (Measured + Indicated)|Resource (Total - Inferred, Indicated, Measured)|Reserve to Production Ratio (R/P)|Opening Year|Reported Life of Mine|Coalfield|Location|Prefecture, District|State, Province|Country|ISO Code|Region|Latitude|Longitude|Location Accuracy|Primary Consumer, Destination|Coal Plant, Steel Plant, Terminal|Coal Plant, Steel Plant, Terminal GEM Wiki|Methane Gas Content (m^3/tonne)|Coal Mine Methane Emissions Estimate (MCM/yr)|CMM Emissions (CO2e 100 years)|Carbon Dioxide Emissions (Mt CO2/yr)
M3342|Uitkomst Colliery|||https://www.gem.wiki/Uitkomst_Colliery||Operating||||MCMining|MCMining (70%), Black Economic Empowerment (30%)|MC Mining (70%), Black Economic Empowerment (30%)|Australia, South Africa|Production|0.4||Underground|Bord and Pillar||80|Estimate||Bituminous|Met|14|-|-|-|-|-|25|36||||Utrecht||KwaZulu-Natal|South Africa|710|Africa & Middle East|-26.098859|29.042869|Exact||||4.4|2.8|0.1|1.05
M2997|Ukwenama Coal Mine|Driefontein||https://www.gem.wiki/Ukwenama_Coal_Mine||Proposed|Announced|New||Canyon Coal|Canyon Coal|Canyon Coal|South Africa|Capacity|0.6||Surface|Open Pit||50|Estimate||Subbituminous|Thermal|-|-|-|-|-|-|-|-|TBD|||Middelburg||Mpumalanga|South Africa|710|Africa & Middle East|-25.816215|29.479086|Approximate||||0.8|0.7|0.0|1.07
M2333|Umlabu Colliery|||https://www.gem.wiki/Umlabu_Colliery_coal_mine||Mothballed|Care and Maintenance|||South African Coal Mining Holdings|South African Coal Mining Holdings|South African Coal Mining Holdings|South Africa|Production|0.96||Surface|Open Pit||60|Estimate||Bituminous||5|-|-|20|-|33|-|5|||||Ermelo|Mpumalanga|South Africa|710|Africa & Middle East|-26.375242826522|29.9904900206131|Exact||||3.5|5.0|0.1|2.30
M0888|Umzila Coal Mine|Birmingham||https://www.gem.wiki/Umzila_coal_mine||Proposed|Pre-Permit|New||Canyon Coal|Canyon Coal|Canyon Coal|South Africa|Capacity|3.6||Underground|||80|Estimate||Bituminous||-|-|-|-|-|-|-|-|2021|13|Ermelo|Hendrina|Nkangala|Mpumalanga|South Africa|710|Africa & Middle East|-26.107386|29.63652|Exact|Coal Plant|Arnot Power Station|https://www.gem.wiki/Arnot_Power_Station|4.4|25.3|0.5|8.64
M0942|Vanggatfontein Coal Mine|Umsimbithi Mining||https://www.gem.wiki/Vanggatfontein_coal_mine||Mothballed|Care and Maintenance|||Wescoal|Salungano Group|Salungano Group|South Africa|Production|3.6||Surface|Open Pit||50|Estimate||Subbituminous|Thermal|25|23|2|27|2|-|29|7||||Delmas|Nkangala|Mpumalanga|South Africa|710|Africa & Middle East|-26.173803|28.843381|Exact||||0.8|4.3|0.1|6.43
M0943|Vele Colliery|||https://www.gem.wiki/Vele_coal_mine||Shelved|Construction|New||MC Mining|MC Mining|MC Mining|Australia|Capacity|1.2||Surface|Open Pit|86|60|Estimate||Bituminous|Thermal & Met|325|-|-|-|-|-|-|271|TBD||Limpopo||Vhembe|Limpopo|South Africa|710|Africa & Middle East|-22.173056|29.680278|Exact||||3.5|6.3|0.1|2.88
M2330|Verkeerdepan Coal Mine|||https://www.gem.wiki/Verkeerdepan_Coal_Mine||Operating||||Msobo Coal|Msobo Coal|Msobo Coal|South Africa|Production|*||Surface|Open Pit||60|Estimate||Bituminous||-|-|-|-|-|-|-|-||25|||Middleburg|Mpumalanga|South Africa|710|Africa & Middle East|-26.145015|30.043459|Exact||||3.5|-|-|-
M1313|Vlakfontein Coal Mine|AEMFC, Ogies Mine||https://www.gem.wiki/Vlakfontein_coal_mine||Operating||||African Exploration Mining and Finance Corporation|African Exploration Mining and Finance Corporation|African Exploration Mining and Finance Corporation|South Africa|Production|1||Surface|Open Pit||60|Estimate|300|Bituminous|Thermal|56|-|-|-|-|-|-|56|2011|25|||Witbank|Mpumalanga|South Africa|710|Africa & Middle East|-26.012217|28.959867|Exact|Coal Plant|Kendal Power Station|https://www.gem.wiki/Kendal_Power_Station|3.5|5.3|0.1|2.40
M1297|Vlakvarkfontein Coal Mine|Ntshovelo Mining||https://www.gem.wiki/Vlakvarkfontein_coal_mine||Operating||||Continental Coal|IchorCoal|IchorCoal|South Africa|Production|1.32||Surface|Open Pit||60|Estimate||Bituminous|Thermal|-|-|-|-|-|-|7|-|2010|6|||Delmas|Mpumalanga|South Africa|710|Africa & Middle East|-26.09176|28.903528|Exact||||3.5|6.9|0.1|3.17
M1309|Vunene Coal Mine|Usutu||https://www.gem.wiki/Usutu_coal_mine||Mothballed||||Vunene Mining|IchorCoal|IchorCoal|South Africa|Production|1.92||Underground & Surface|Mixed||60|Estimate||Bituminous|Thermal|-|-|-|-|-|-|153|-|1960|20|Ermelo||Msukaligwa|Mpumalanga|South Africa|710|Africa & Middle East|-26.577649|30.102459|Exact|Coal Plant|Camden Power Station|https://www.gem.wiki/Camden_Power_Station|3.5|10.8|0.2|4.61
M0944|Welgemeend Coal Mine|||https://www.gem.wiki/Welgemeend_coal_mine||Operating||||Mbuyelo Coal|IchorCoal|IchorCoal|South Africa|Production|2.4||Underground & Surface|Mixed||50|Estimate||Subbituminous|Thermal|-|-|-|-|-|-|56|-|2015|||Hendrina|Nkangala|Mpumalanga|South Africa|710|Africa & Middle East|-26.1678722|29.8631123|Exact||||0.8|3.1|0.1|4.28
M0945|Welstand Coal Mine|TNC, Welstand Colliery-Khasani Colliery||https://www.gem.wiki/Welstand_coal_project||Shelved|Pre-Permit|New||Mbuyelo Coal|IchorCoal|IchorCoal|South Africa|Capacity|3||Underground & Surface|Mixed||50|Estimate||Subbituminous|Thermal|-|-|-|-|-|-|89|-|TBD||Highveld|Kriel|Nkangala|Mpumalanga|South Africa|710|Africa & Middle East|-26.3243535|29.2614021|Approximate||||0.8|3.8|0.1|5.36
M0946|Weltevreden Project|Klipspruit Life Extension Project, KPSX||https://www.gem.wiki/Weltevreden_coal_project||Proposed|Construction|Expansion||Thabong Coal (Pty) Limited|Seriti Resources|Seriti|Australia|Capacity|8||Underground & Surface|Mixed||60|Estimate|740|Bituminous|Thermal|-|-|-|-|-|-|-|-|TBD|20|Witbank|Phola|Nkangala|Mpumalanga|South Africa|710|Africa & Middle East|-25.991333|29.061537|Exact||||3.5|44.8|0.9|19.20
M2334|Witrand Coal Mine|||https://www.gem.wiki/Witrand_Coal_Mine||Closed||||Puckree Group|Puckree Group|Puckree Group|South Africa|Production|0.13||Surface|Open Pit||50|Estimate||Subbituminous|Thermal|-|-|-|-|-|-|-|-||||Carolina||Mpumalanga|South Africa|710|Africa & Middle East|-26.165833|30.078611|Exact||||0.8|0.2|0.0|0.23
M1279|Wonderfontein Coal Mine|||https://www.gem.wiki/Wonderfontein_coal_mine||Closed||||Umcebo|Glencore|Glencore|Switzerland|Production|3||Surface|Open Pit||50|Estimate||Subbituminous|Thermal|37|37|0|65|-|-|71|12||25||Belfast|Nkangala|Mpumalanga|South Africa|710|Africa & Middle East|-25.851338|29.866819|Exact||||0.8|3.6|0.1|5.36
M0949|Zibulo Coal Mine|||https://www.gem.wiki/Zibulo_coal_mine||Operating||||Thungela Resources Limited|Thungela Resources Limited (73%), Inyosi Coal (27%)|Anglo American|UK|Production|5.5||Underground & Surface|Mixed||195|Exact||Bituminous|Thermal|59|39|20|231|111|-|-|11|2012|8|Highveld|Ogies|Nkangala|Mpumalanga|South Africa|710|Africa & Middle East|-26.1994277|29.0084596|Exact|Terminal (Export)|Richards Bay Coal Terminal|https://www.gem.wiki/Richards_Bay_Coal_Terminal|8.4|73.9|1.5|13.20
M0949|Zibulo Coal Mine|Zibulo North||https://www.gem.wiki/Zibulo_coal_mine||Proposed|Pre-Permit|Expansion||Thungela Resources Limited|Thungela Resources Limited (73%), Inyosi Coal (27%)|Anglo American|UK|Capacity|8.4||Underground|||80|Estimate||Bituminous|Thermal|-|-|-|-|-|-|137|-|2026|12|Highveld|Ogies|Nkangala|Mpumalanga|South Africa|710|Africa & Middle East|-26.193112|29.012295|Approximate||||4.4|59.1|1.2|20.16
M0950|Zimpande Coal Mine|Leeuw Braakfontein, Braakfontein||https://www.gem.wiki/Zimpande_coal_project||Shelved|Pre-Permit|New||Wescoal|Salungano Group|Salungano Group|South Africa|Capacity|1.6||Underground & Surface|Mixed||50|Estimate||Subbituminous|Thermal|-|-|-|-|-|-|-|-|TBD||Klipriver||Amajuba|KwaZulu-Natal|South Africa|710|Africa & Middle East|-27.7138429|29.9927995|Exact||||0.8|2.0|0.0|2.86
M0951|Zonnebloem Coal Mine|Vulna||https://www.gem.wiki/Zonnebloem_coal_mine||Operating||||Glencore|Glencore|Glencore|Switzerland|Production|0.9||Underground|||80|Estimate||Subbituminous|Thermal|-|76|-|180|35|215|225|-||18||Middelburg||Mpumalanga|South Africa|710|Africa & Middle East|-25.705416|29.739185|Exact||||1.2|1.7|0.0|1.61
M1457|Dogye Coal Mine||도계광업소|https://www.gem.wiki/Dogye_coal_mine||Operating||||Korea Coal Corporation (KOCOAL)|Korea Coal Corporation (KOCOAL)|Korea Coal Corporation (KOCOAL)|South Korea|Production|0.246||Underground|||494|Estimate|186|Anthracite||47|-|-|-|-|-|29|191|1934|||Dong-myeon|Hwasun|South Jeolla|South Korea|410|East Asia|35.032806|127.0674078|Exact||||24.1|9.5|0.2|0.63
M1574|Gyeong-dong Sangdeok Coal Mine|||https://www.gem.wiki/Gyeong-dong_Sangdeok_coal_mine||Operating||||Kyungdong Company|Kyungdong Company|Kyungdong Company|South Korea|Production|0.55||Underground|||494|Estimate||Anthracite||-|-|-|-|-|-|-|-||||Dogye-eup|Samcheok|Gangwon|South Korea|410|East Asia|37.2049613|129.0840286|Exact||||24.1|21.4|0.4|1.43
M1458|Hwasun Coal Mine||화순광업소|https://www.gem.wiki/Hwasun_coal_mine||Operating||||Korea Coal Corporation (KOCOAL)|Korea Coal Corporation (KOCOAL)|Korea Coal Corporation (KOCOAL)|South Korea|Production|0.13||Underground|||494|Estimate||Anthracite||38|-|-|-|-|-|19|292||||Dogye-eup|Samcheok|Gangwon|South Korea|410|East Asia|37.2049613|129.0840286|Exact||||24.1|5.0|0.1|0.34
M1456|Jangseong Coal Mine||장성광업소|https://www.gem.wiki/Jangseong_coal_mine||Operating||||Korea Coal Corporation (KOCOAL)|Korea Coal Corporation (KOCOAL)|Korea Coal Corporation (KOCOAL)|South Korea|Production|0.27||Underground|||494|Estimate|324|Anthracite||154|-|-|-|-|-|25|570|1936|||Dogye-eup|Samcheok|Gangwon|South Korea|410|East Asia|37.2265889|129.0440739|Exact||||24.1|10.4|0.2|0.70
M3343|San Nicolás Coal Mine|Pozo San Nicolás||https://www.gem.wiki/San_Nicolás_Coal_Mine||Operating||||Hunosa Group|Hunosa Group|Hunosa Group|Spain|Production|0.2||Underground|||494|Estimate|200|Bituminous|Thermal|-|-|-|-|-|-|-|-||||Mieres||Asturias|Spain|724|Europe (EU-27)|43.252355|-5.818375|Exact|Coal Plant|La Pereda Hunosa Power Station|https://www.gem.wiki/La_Pereda_Hunosa_power_station|13.7|4.4|0.1|0.48
M1629|Fong-Yaghnob Coal Mine|||https://www.gem.wiki/Fong-Yaghnob_Coal_Mine||Operating||||Kaisun Energy Group|SUE Angishti Tojik|SUE Angishti Tojik|Tajikistan|Production|0.05||Underground|||494|Estimate||Subbituminous|Thermal|3|-|-|-|-|-|-|58|1985||||Kulob|Pyandzh|Tajikistan|762|Eurasia|37.89|69.74|Approximate||||4.5|0.4|0.0|0.09
M1433|Isfara Hydrometallurgical Mine|||https://www.gem.wiki/Isfara_Hydrometallurgical_Plant_coal_mine||Operating||||JSC Tamohush-Isfara Hydrometallurgical Plant|Government of Tajikistan|Government of Tajikistan|Tajikistan|Production|0.3||Underground|||494|Estimate||Bituminous|Met|-|-|-|-|-|-|-|-||||Shurab|Isfara|Sughd|Tajikistan|762|Eurasia|40.1219619740075|70.5708153888781|Exact||||13.7|6.6|0.1|0.79
M1632|Kante Coal Mine|||https://www.gem.wiki/Kante_Coal_Mine||Operating||||Talco Resource|Talco Group|Talco Group|Australia|Production|0.2||Surface|Open Pit||50|Estimate||Subbituminous|Thermal|-|-|-|-|-|-|-|-|2013||Fan-Yagnob||Ayni|Sughd|Tajikistan|762|Eurasia|39.39068|68.533553|Approximate||||0.8|0.2|0.0|0.36
M1633|No. 8 and No. 1/2 Coal Mine|||https://www.gem.wiki/No._8_and_No._1/2_Coal_Mine||Operating||||OSC Angishti|OSC Angishti|OSC Angishti|Tajikistan|Production|0.06||Underground||4.9|494|Estimate||Subbituminous|Thermal|-|-|-|-|-|-|-|-|||Shurab|||Isfara|Tajikistan|762|Eurasia|40.055116|70.559607|Exact||||4.5|0.4|0.0|0.10
M1631|Rovat Coal Mine|||https://www.gem.wiki/Rovat_Coal_Mine||Operating||||Coal Mining Department of the Combinat of Metallurgy Tojik|Coal Mining Department of the Combinat of Metallurgy Tojik|Coal Mining Department of the Combinat of Metallurgy Tojik|Tajikistan|Production|0.3||Surface|Open Pit||50|Estimate||Subbituminous|Thermal|-|-|-|-|-|-|-|-|2015||Fan-Yagnob||Ayni|Sughd|Tajikistan|762|Eurasia|39.409984|68.529179|Approximate||||0.8|0.4|0.0|0.54
M1630|Saiod Coal Mine|||https://www.gem.wiki/Saiod_Coal_Mine||Operating||||Shirkati Tajikochity Sayed|Shirkati Tajikochity Sayed|Shirkati Tajikochity Sayed|Tajikistan|Production|0.04||Surface|Open Pit||50|Estimate||Subbituminous|Thermal|-|-|-|-|-|-|-|-|1993||||Vakhdat|Central Government Jurisdiction|Tajikistan|762|Eurasia|38.567955|68.996357|Exact||||0.8|0.0|0.0|0.07
M0952|Ngaka Coal Mine|||https://www.gem.wiki/Ngaka_Coal_Mine||Shelved|Announced|Expansion|Stage 3|Tancoal Energy|Intra Energy Corporation, National Development Corporation of Tanzania|Intra Energy Corporation, National Development Corporation of Tanzania|Australia, Tanzania|Capacity|3.5||Surface|Open Pit||50|Estimate||Subbituminous|Thermal|367|-|-|-|-|-|-|105|2011|50||||Ruvuma|Tanzania|834|Africa & Middle East|-10.646333|35.642363|Exact|Coal Plant|Ngaka Power Station|https://www.gem.wiki/Ngaka_power_station|0.8|4.2|0.1|6.25
M0952|Ngaka Coal Mine|Mbalawala||https://www.gem.wiki/Ngaka_Coal_Mine||Operating||||Tancoal Energy|Intra Energy Corporation (50%), National Development Corporation of Tanzania (50%)|Intra Energy Corporation (50%), National Development Corporation of Tanzania (50%)|Australia, Tanzania|Production|0.4||Underground|||494|Estimate||Subbituminous|Thermal|367|-|-|-|-|-|-|918||||||Ruvuma|Tanzania|834|Africa & Middle East|-10.646333|35.642363|Exact||||4.5|2.9|0.1|0.71
M0953|Mae Moh Coal Mine|||https://www.gem.wiki/Mae_Moh_coal_mine||Operating||||Electricity Generating Authority of Thailand (EGAT)|Electricity Generating Authority of Thailand (EGAT)|Electricity Generating Authority of Thailand (EGAT)|Thailand|Production|14.2||Underground & Surface|Mixed|135|500|Exact|1000|Lignite|Thermal|825|-|-|-|-|-|-|58|1978|0|Mae Moh|Mae Moh|Lampang|Thailand|Thailand|764|South East Asia|18.31471|99.71994|Exact|Coal Plant|Mae Moh Power Station|https://www.gem.wiki/Mae_Moh_coal_plant|4.5|102.2|2.0|16.78
M3344|Omkoi Coal Mine|||https://www.gem.wiki/Omkoi_Coal_Mine||Proposed|Announced|New||99 Thuwanon Company|99 Thuwanon Company|100 Thuwanon Company|Thailand|Capacity|*||Surface|Open Pit||50|Estimate||Subbituminous|Thermal|-|-|-|-|-|-|-|-|TBD||Omkoi||Chiang Mai|Thailand|Thailand|764|South East Asia|17.822747|98.305881|Approximate||||0.8|-|-|-
M0954|Aegean Lignite Coal Mines|Soma (Eynez), Deniş||https://www.gem.wiki/Aegean_coal_mines||Operating||||Aegean Lignite Enterprises (Ege Linyitleri İşletmesi Müessesesi Müdürlüğü)|Türkiye Kömür İşletmeleri (TKI)|Türkiye Kömür İşletmeleri (TKI)|Turkey|Production|14.2||Underground & Surface|Mixed||50|Estimate||Lignite|Thermal|640|-|-|-|-|-|-|45|1913||Soma, Denis|Soma||Manisa|Turkey|792|Europe (non-EU)|39.083006|27.539574|Exact|Coal Plant|Soma Kolin Power Station and Soma power station|https://www.gem.wiki/Soma_Kolin_power_station|0.8|18.2|0.4|16.78
M0955|Afşin-Elbistan Coal Mine||Kışlaköy|https://www.gem.wiki/Afşin-Elbistan_coal_mines||Operating||||Afşin- Elbistan Elektrik Üretim ve Ticaret A.Ş|Euas Electricity Generation Company (Elektrik Üretim A.Ş, EÜAŞ)|Euas Electricity Generation Company (Elektrik Üretim A.Ş, EÜAŞ)|Turkey|Production|14||Underground & Surface|Mixed||50|Estimate|2800|Lignite|Thermal|-|-|-|-|-|-|3400|-|1984||Elbistan|||Kahramanmaraş|Turkey|792|Europe (non-EU)|38.340685|37.082979|Exact|Coal Plant|Afşin-Elbistan A, B|https://www.gem.wiki/Afşin-Elbistan_power_complex|0.8|17.9|0.4|16.54
M0956|Afyon Uluköy Coal Mine|||https://www.gem.wiki/Afyon_Uluköy_coal_mine||Proposed|Pre-Permit|New||KLK Enerji Üretim A.Ş.|Kolin Group (50%), Limak Holding (5%), Kalyon Group (5%), Others (40%)|Kolin Group (50%), Limak Holding (5%), Kalyon Group (5%), Others (40%)|Turkey|Capacity|5.5||Underground|||446|Estimate||Lignite|Thermal|48|-|-|-|-|-|-|9|TBD|||Uluköy|Dinar|Afyon|Turkey|792|Europe (non-EU)|38.1999839|30.2705505|Exact|Coal Plant|Uluköy Power Station|https://www.gem.wiki/Uluk%C3%B6y_power_station|4.2|37.0|0.7|6.50
M1589|Alpagut Coal Mine|||https://www.gem.wiki/Alpagut_Mine||Operating||||Bükköy Madencilik Elektrik Üretim A.Ş.|Ercan Şirketler Topluluğu|Ercan Şirketler Topluluğu|Turkey|Capacity|0.3||Underground|||494|Estimate||Lignite|Thermal|21|-|-|-|-|-|-|69|1985|||Alpagut|Mustafa Kemal Paşa|Bursa|Turkey|792|Europe (non-EU)|39.866449|28.563961|Approximate||||4.5|2.2|0.0|0.35
M1590|Alpagut Dodurga Coal Mine|||https://www.gem.wiki/Alpagut_Dodurga_coal_mine||Operating||||Çelikler Taahhüt İnşaat ve San. Tic|Türkiye Kömür İşletmeleri (TKI)|Türkiye Kömür İşletmeleri (TKI)|Turkey|Capacity|0.3||Surface|Open Pit||50|Estimate||Lignite|Thermal|-|-|-|-|-|-|-|-|1962|||Alpagut|Dodurga|Çorum|Turkey|792|Europe (non-EU)|40.855953|34.758629|Approximate||||0.8|0.4|0.0|0.35
M0957|Amasra B Coal Mine|||https://www.gem.wiki/Amasra_B_coal_mine||Proposed|Pre-Permit|New||Hema Enerji|Hattat Holdings Energy Group|Hattat Holdings Energy Group|Turkey|Capacity|10||Surface|Open Pit||50|Estimate||Lignite|Thermal|56|-|-|-|-|-|-|6|TBD|||Amasra||Bartin|Turkey|792|Europe (non-EU)|41.721848|32.349063|Approximate|Coal Plant|HEMA Amasara Power Station|https://www.gem.wiki/HEMA_Amasra_power_station|0.8|12.0|0.2|11.82
M0958|Amasra Coal Mine|||https://www.gem.wiki/Amasra_coal_mine||Operating||||Amasra Taşkömürü Isletme Müessesesi|TTK|TTK|Turkey|Production|0.05||Underground|Longwall||625|Exact||Bituminous|Thermal|70|6|64|-|-|-|-|1522|1953|||Amasra||Bartin|Turkey|792|Europe (non-EU)|41.721848|32.349063|Approximate|Coal Plant|HEMA Amasara Power Station|https://www.gem.wiki/HEMA_Amasra_power_station|15|1.1|0.0|0.11
M1588|Armutcuk Coal Mine|||https://www.gem.wiki/Armutçuk_coal_mine||Operating||||Armutçuk Taşkömürü Isletme Müessesesi|TTK|TTK|Turkey|Production|0.08||Underground|||494|Estimate|1097|Bituminous||20|3|17|-|-|-|-|250|1983|||Kandilli||Zonguldak|Turkey|792|Europe (non-EU)|41.34012|31.510875|Exact||||13.7|1.8|0.0|0.19
M1280|Bağlık-İnağzı Coal Mine|||https://www.gem.wiki/Bağlık-İnağzı_coal_mine||Proposed|Announced|New||Tumas|TTK|TTK|Turkey|Capacity|2.5||Underground|||446|Estimate|2500|Bituminous||136|136|-|-|-|-|-|54|2024||Bağlık-İnağzı|||Zonguldak|Turkey|792|Europe (non-EU)|41.464983|31.824399|Approximate||||13.1|52.4|1.0|6.00
M1587|Beşler Çeltek Coal Mine|||https://www.gem.wiki/Be%C5%9Fler_%C3%87eltek_Coal_Mine||Operating||||Beşler Yenidoğuş Madencilik A.Ş.|Polat Kömür A.Ş.|Polat Kömür A.Ş.|Turkey|Production|0.05||Underground|||494|Estimate||Lignite|Thermal|-|-|-|-|-|-|-|-|2019||Oğulbağı|Oğulbağı|Suluova|Amasya|Turkey|792|Europe (non-EU)|40.842904|35.666581|Exact||||4.5|0.4|0.0|0.06
M0959|Bolu Göynük|||https://www.gem.wiki/Bolu_Göynük_coal_mine||Operating||||Aksa Enerji Üretim A.Ş.|Kazancı Holding|Kazancı Holding|Turkey|Production|1.8||Surface|Open Pit||50|Estimate||Lignite|Thermal|30|-|-|-|-|-|-|17|2015|||Göynük||Bolu|Turkey|792|Europe (non-EU)|40.245916|30.797164|Exact|Coal Plant|Bolu Göynük Power Station|https://www.gem.wiki/Bolu_G%C3%B6yn%C3%BCk_power_station|0.8|2.2|0.0|2.13
M0961|Bursa Coal Mine|Orhaneli||https://www.gem.wiki/Bursa_coal_mine||Operating||||Çelikler Orhaneli Tunçbilek Elektrik Üretim A.Ş|Çelikler Holding|Çelikler Holding|Turkey|Production|1.6||Surface|Open Pit||50|Estimate||Lignite|Thermal|99|-|-|-|-|-|-|62|1980||Orhaneli|Orhaneli||Bursa|Turkey|792|Europe (non-EU)|39.921991|28.968405|Exact|Coal Plant|Orhaneli Power Station|https://www.gem.wiki/Orhaneli_power_station|0.8|1.9|0.0|1.89
M1415|Bursa Keles Coal Mine|Bursa Keles Lignite Enterprises||https://www.gem.wiki/Bursa_Keles_coal_mine||Operating||||Çelikler Orhaneli Tunçbilek Elektrik Üretim A.Ş.|Çelikler Holding|Çelikler Holding|Turkey|Production|1.6||Surface|Open Pit||50|Estimate||Lignite|Thermal|67|-|-|-|-|-|-|42|1979|||Keles||Bursa|Turkey|792|Europe (non-EU)|39.90331|29.17746|Exact||||0.8|1.9|0.0|1.89
M0962|Can Coal Mine|||https://www.gem.wiki/Can_coal_mine||Operating||||Can Lignite Enterprise (Çan Linyitleri İşletmesi Müdürlüğü)|Türkiye Kömür İşletmeleri (TKI)|Türkiye Kömür İşletmeleri (TKI)|Turkey|Production|2.46||Surface|Open Pit||50|Estimate||Lignite|Thermal|61|-|-|-|-|-|-|25|2005|||Çan||Çanakalle|Turkey|792|Europe (non-EU)|41.438877|31.84698|Approximate|Coal Plant|Çan (18 Mart) Power Station|https://www.gem.wiki/%C3%87an_(18_Mart)_power_station|0.8|3.0|0.1|2.91
M0963|Çayırhan Coal Mine|||https://www.gem.wiki/Çayırhan_coal_mine||Operating||||Euas Electricity Generation Company (Elektrik Üretim A.Ş, EÜAŞ)|Euas Electricity Generation Company (Elektrik Üretim A.Ş, EÜAŞ)|Euas Electricity Generation Company (Elektrik Üretim A.Ş, EÜAŞ)|Turkey|Production|*||Surface|Open Pit||50|Estimate||Lignite|Thermal|304|35|275|-|-|545|-|-|2000||Ankara|Çayırhan||Ankara|Turkey|792|Europe (non-EU)|40.10121|31.701746|Exact|Coal Plant|Çayırhan Power Station|https://www.gem.wiki/Çayırhan_power_station|0.8|-|-|-
M0964|Çırpılar Coal Mine|||https://www.gem.wiki/Çırpılar_coal_mine||Cancelled||||Taşzemin İnşaat|Taşyapı Group|Taşyapı Group|Turkey|Capacity|3.5||Surface|Open Pit||50|Estimate||Lignite|Thermal|65|-|-|-|-|-|-|19||||Çırpılar||Çanakkale|Turkey|792|Europe (non-EU)|39.816777|27.339752|Approximate|Coal Plant|Çırpılar Power Station|https://www.gem.wiki/%C3%87%C4%B1rp%C4%B1lar_power_station|0.8|4.2|0.1|4.14
M1586|Demirhan Coal Mines||Doğanköy, Taşumurca, Harmanlı and Çavuşlu|https://www.gem.wiki/Demirhan_Coal_Mines||Operating||||Demirhan Madencilik|Demirhan Madencilik|Demirhan Madencilik|Turkey|Production|0.25||Surface|Open Pit||50|Estimate||Lignite|Thermal|-|-|-|-|-|-|-|-|1996||||Malkara/Uzunköprü|Tekirdağ|Turkey|792|Europe (non-EU)|41.07527|26.838081|Approximate||||0.8|0.3|0.0|0.30
M1591|Dodurga Ayva Coal Mine|||https://www.gem.wiki/Dodurga_Ayva_coal_mine||Operating||||Çelikler Taahhüt İnşaat ve San. Tic|Türkiye Kömür İşletmeleri (TKI)|Türkiye Kömür İşletmeleri (TKI)|Turkey|Capacity|0.3||Surface|Open Pit||50|Estimate||Subbituminous|Thermal|-|-|-|-|-|-|-|-||||||Çorum|Turkey|792|Europe (non-EU)|40.855953|34.758629|Approximate||||0.8|0.4|0.0|0.54
M0965|Eski Çeltek Coal Mine|||https://www.gem.wiki/Eski_Çeltek_coal_mine||Operating||||Eski Çeltek Bütçe İçi Kömür Enerji ve Yenilenebilir Enerji İşletmesi|Eski Çeltek Bütçe İçi Kömür Enerji ve Yenilenebilir Enerji İşletmesi|Amasya Local Government|Turkey|Production|0.25||Underground & Surface|Mixed||50|Estimate||Lignite|Thermal|10|4|6|-|-|-|-|39|1985|||Eski Çeltek|Suluova|Amasya|Turkey|792|Europe (non-EU)|40.871443|35.635996|Exact||||0.8|0.3|0.0|0.30
M1585|Harmanlı Coal Mine|||https://www.gem.wiki/Harmanl%C4%B1_Coal_Mine||Operating||||Batı Kömür İşletmeleri Ltd.|Atay Holding|Atay Holding|Turkey|Production|0.4||Surface|Open Pit||50|Estimate||Lignite|Thermal|-|-|-|-|-|-|-|-|2016||Harmanlı|Harmanlı|Uzunköprü|Edirne|Turkey|792|Europe (non-EU)|41.100475|26.748121|Exact||||0.8|0.5|0.0|0.47
M0966|Iğdekuzu Coal Mine|||https://www.gem.wiki/Iğdekuzu_coal_mine||Operating||||Park Teknik|GLİ|GLİ|Turkey|Production|6||Underground|||446|Estimate||Lignite|Thermal|228|228|-|-|-|-|-|38|||||Tunçbilek|Kutahya|Turkey|792|Europe (non-EU)|39.628937|29.459739|Approximate||||4.2|40.3|0.8|7.09
M1584|Ilgın Coal Mine|||https://www.gem.wiki/Ilgin_coal_mine||Operating||||Konya Ilgın Elektrik Üretim A.Ş.|Ciner Group|Ciner Group|Turkey|Production|0.42||Underground|||494|Estimate||Lignite|Thermal|138|-|-|-|-|-|-|329|1978|||Ilgin||Konya|Turkey|792|Europe (non-EU)|38.372002|31.846171|Exact||||4.5|3.0|0.1|0.50
M1576|Karacaören Coal Mine|||https://www.gem.wiki/w/index.php?title=Karaca%C3%B6ren_Coal_Mine&redlink=1||Operating||||Afyon Linyit İşletmeleri|Sadık İntepe|Sadık İntepe|Turkey|Production|*||Underground|||494|Estimate||Lignite|Thermal|6|-|-|-|-|-|-|-|2008|||Karacaören|Sincanlı|Afyon|Turkey|792|Europe (non-EU)|38.800585|30.096683|Approximate||||4.5|-|-|-
