 |Mine Name|Mine Name AKAs|Mine Name (Non-ENG)|GEM Wiki Page (ENG)|GEM Wiki Page (Non-ENG)|Status|Status Detail|Project Type|Project Phase|Operators|Owners|Parent Company|Company HQs|Production or Capacity Data (Mtpa)|Coal Output (Annual, Mt)|Coal Output (Annual, Mst)|Mine Type|Mining Method|Mine Size (Km2)|Mine Depth (m)|Depth Accuracy|Workforce Size|Coal Type|Coal Grade|Reserves Total (Proven & Probable)|Proven Reserve|Probable Reserve|Resource (Measured)|Resource (Indicated)|Resource (Measured + Indicated)|Resource (Total - Inferred, Indicated, Measured)|Reserve to Production Ratio (R/P)|Opening Year|Reported Life of Mine|Coalfield|Location|Prefecture, District|State, Province|Country|ISO Code|Region|Latitude|Longitude|Location Accuracy|Primary Consumer, Destination|Coal Plant, Steel Plant, Terminal|Coal Plant, Steel Plant, Terminal GEM Wiki|Methane Gas Content (m^3/tonne)|Coal Mine Methane Emissions Estimate (MCM/yr)|CMM Emissions (CO2e 100 years)|Carbon Dioxide Emissions (Mt CO2/yr)
M0020|Cameby Downs Coal Mine|Cameby Downs Continuation Project||https://www.gem.wiki/Cameby_Downs_mine||Proposed|Permitted|Expansion||Syntech Resources|Syntech Resources|Yankuang Group|China|Capacity|0.7||Surface|Open Pit||50|Estimate||Subbituminous|Thermal|234|-|-|-|-|-|-|334|2020|||Dalby||Queensland|Australia|36|Australia & NZ|-26.6540316|150.3354945|Exact||||0.8|0.8|0.0|1.25
M0020|Cameby Downs Coal Mine|||https://www.gem.wiki/Cameby_Downs_mine||Operating||||Syntech Resources|Syntech Resources|Yankuang Group|China|Production|2.4||Surface|Open Pit||60|Estimate||Bituminous|Thermal|122|-|-|-|-|-|-|51|2010|||Dalby||Queensland|Australia|36|Australia & NZ|-26.6181915|150.3548193|Exact||||3.5|12.6|0.3|5.76
M0021|Capcoal Mine Complex|Lake Lindsay, Oak Park, German Creek East||https://www.gem.wiki/Capcoal_Mining_Complex||Operating||||Anglo American|Anglo American (70%), Mitsui & Co. Ltd. (30%)|Anglo American (70%), Mitsui Holdings (30%)|UK|Production|5.9||Underground & Surface|Mixed|340|90|Estimate|500|Bituminous|Met|114|70|45|107|-|-|226|19|||Bowen|Middlemount||Queensland|Australia|36|Australia & NZ|-22.990997|148.580506|Exact||||4.9|46.3|0.9|15.47
M0022|Carborough Downs Coal Mine|||https://www.gem.wiki/Carborough_Downs_mine||Operating||||Fitzroy Australia Resources|Fitzroy Australia Resources|AMC (50%)I, Riverstone Holdings (50%)|USA|Production|1.9||Underground|||500|Estimate|340|Bituminous|Met|33|4|-|-|-|-|177|17|2006|10||Moranbah||Queensland|Australia|36|Australia & NZ|-21.9502|148.2094|Exact||||13.8|42.0|0.8|4.98
M0023|Carmichael Coal Project|||https://www.gem.wiki/Carmichael_Coal_Project||Proposed|Permitted|Expansion|Stage 3|Adani Mining|Adani Mining|Adani Group|India|Capacity|32||Underground & Surface|Mixed|447|50|Estimate||Subbituminous|Thermal|-|-|-|1160|-|-|10140|-|TBD|60|Galilee|Clermont||Queensland|Australia|36|Australia & NZ|-22.073611|146.329722|Approximate|Terminal (Export)|Abbot Point Coal Terminal, Moray Power Station|https://www.gem.wiki/Abbot_Point_Coal_Terminal https://www.gem.wiki/Moray_power_station|0.8|41.0|0.8|57.12
M0023|Carmichael Coal Project|||https://www.gem.wiki/Carmichael_Coal_Project||Proposed|Permitted|Expansion|Stage 2|Adani Mining|Adani Mining|Adani Group|India|Capacity|18||Underground & Surface|Mixed|447|400|Exact||Subbituminous|Thermal|-|-|-|-|-|-|-|-|TBD|60|Galilee|Clermont||Queensland|Australia|36|Australia & NZ|-22.073611|146.329722|Approximate|Terminal (Export)|Abbot Point Coal Terminal, Moray Power Station|https://www.gem.wiki/Abbot_Point_Coal_Terminal https://www.gem.wiki/Moray_power_station|3.3|95.0|1.9|32.13
M0023|Carmichael Coal Project|||https://www.gem.wiki/Carmichael_Coal_Project||Operating|||Stage 1|Adani Mining|Adani Mining|Adani Group|India|Capacity|10||Underground & Surface|Mixed|447|300|Exact|1464|Subbituminous|Thermal|-|-|-|-|-|-|-|-|2021|60|Galilee|Clermont||Queensland|Australia|36|Australia & NZ|-22.073611|146.329722|Approximate|Terminal (Export)|Abbot Point Coal Terminal, Moray Power Station|https://www.gem.wiki/Abbot_Point_Coal_Terminal https://www.gem.wiki/Moray_power_station|3.3|52.8|1.1|17.85
M0024|Caval Ridge Coal Mine|Horse Pit Extension||https://www.gem.wiki/Caval_Ridge_Project||Proposed|Pre-Permit|Expansion||Queensland Coal, BHP Mitsubishi Alliance (BMA)|Queensland Coal, BHP Mitsubishi Alliance (BMA)|BHP (50%), Mitsubishi Corporation (50%)|Australia|Capacity|2||Surface|Open Pit|14|60|Estimate||Bituminous|Met|-|-|-|-|-|-|-|-|2025||Bowen|Moranbah||Queensland|Australia|36|Australia & NZ|-22.1056069|148.0475444|Exact|Terminal (Export)|Hay Point Coal Terminal|https://www.gem.wiki/Hay_Point_Coal_Terminal|3.5|10.5|0.2|5.25
M0024|Caval Ridge Coal Mine|||https://www.gem.wiki/Caval_Ridge_Project||Operating||||Thiess|Queensland Coal, BHP Mitsubishi Alliance (BMA)|BHP (50%), Mitsubishi Corporation (50%)|Australia|Production|7.8||Surface|Open Pit|14|60|Estimate||Bituminous|Met|333|232|101|332|-|-|548|43|2014||Bowen|Moranbah||Queensland|Australia|36|Australia & NZ|-22.1056069|148.0475444|Exact|Terminal (Export)|Hay Point Coal Terminal|https://www.gem.wiki/Hay_Point_Coal_Terminal|3.5|41.0|0.8|20.46
M0025|Central Queensland Coal Mine|Styx||https://www.gem.wiki/Central_Queensland_Coal_Project||Shelved|Pre-Permit|New||Central Queensland Coal (99%), Fairway Coal (1%)|Central Queensland Coal (99%), Fairway Coal (1%)|Mineralogy|Australia|Capacity|10||Surface|Open Pit||60|Estimate|500|Bituminous|Thermal & Met|-|-|-|-|-|-|206|-|2025||Styx|Marlborough||Queensland|Australia|36|Australia & NZ|-22.679446|149.659662|Exact|Terminal (Export)|Dalrymple Bay Coal Terminal|https://www.gem.wiki/Dalrymple_Bay_Coal_Terminal|3.5|52.5|1.0|24.00
M1530|Chain Valley Coal Mine|||https://www.gem.wiki/Chain_Valley_Mine||Operating||||Great Southern Energy|Great Southern Energy|Delta Coal|Australia|Production|1.25||Underground|Bord and Pillar||200|Exact||Subbituminous|Thermal|20|-|-|-|-|-|-|16|1962|5||Mannering Park||New South Wales|Australia|36|Australia & NZ|-33.163056|151.549665|Exact|Coal Plant|Vales Point Power Station|https://www.gem.wiki/Vales_Point_Power_Station|2.5|5.0|0.1|2.23
M3018|Chain Valley Consolidation Project|||https://www.gem.wiki/Chain_Valley_Consolidation_Project||Proposed|Announced|Expansion||Delta Coal|Delta Coal|Delta Coal|Australia|Capacity|*||Underground|Bord and Pillar||494|Estimate|100|Subbituminous|Thermal|-|-|-|-|-|-|-|-|TBD|7||Mannering Park||New South Wales|Australia|36|Australia & NZ|-33.163056|151.549665|Exact|Coal Plant|Vales Point Power Station||4.5|-|-|-
M2495|China Stone Coal Mine|||https://www.gem.wiki/China_Stone_project||Shelved||||Macmines Australia|Macmines Australia|Shanxi Meijin Energy Group|China|Capacity|38||Underground & Surface|Mixed||50|Estimate||Subbituminous|Thermal|3750|-|-|-|-|-|10000|99||||Mackay||Queensland|Australia|36|Australia & NZ|-21.166667|145.75|Exact||||0.8|48.6|1.0|67.83
M0026|Clarence Colliery|||https://www.gem.wiki/Clarence_colliery||Operating||||Centennial Coal, Clarence Joint Venture|Centennial Coal, Clarence Joint Venture|Banpu (85%), SK Energy (15%)|Thailand, South Korea|Production|1.6||Underground|||500|Estimate||Bituminous|Thermal|31|-|-|-|-|-|155|20|1979|7||Lithgow||New South Wales|Australia|36|Australia & NZ|-33.4597|150.2479|Exact||||13.8|35.3|0.7|3.84
M0027|Clermont Coal Mine|||https://www.gem.wiki/Clermont_mine||Operating||||Glencore|Glencore|Glencore (37%), Sumitomo Corporation (37%), J Power (22%), J.C.D. Australia (4%)|Switzerland, Japan|Production|11||Surface|Open Pit||60|Estimate|629|Bituminous|Thermal|76|70|6|75|-|-|84|7|2010|8|Bowen|Clermont||Queensland|Australia|36|Australia & NZ|-22.7201075|147.6195648|Exact|Terminal (Export)|Dalrymple Bay Coal Terminal|https://www.gem.wiki/Dalrymple_Bay_Coal_Terminal|3.5|57.8|1.2|26.39
M2478|Clifford Coal Mine|||https://www.gem.wiki/Clifford_coal_project||Cancelled||||Stanmore Coal|Stanmore Resources (50%), Japanese Oil, Gas and Metals National Corporation (JOGMEC) (50%)|Stanmore Resources (50%), Japanese Oil, Gas and Metals National Corporation (JOGMEC) (50%)|Australia|Capacity|5||Surface|Open Pit||50|Estimate||Subbituminous|Thermal|-|-|-|-|200|-|620|-|||Surat|Wandoan||Queensland|Australia|36|Australia & NZ|-25.751851|149.662081|Exact|Terminal (Export)|Port of Gladstone|https://www.gem.wiki/Port_of_Gladstone|0.8|6.0|0.1|8.93
